Район;Объект;Площадь проезжей части, тыс. м2;Площадь тротуара, тыс. м2;Всего, тыс. м2;Стоимость, тыс. руб.
"КРАСНОСЕЛЬСКИЙ";"ул. Пограничника Гарькавого у д.40";"0,14";"0";"0,14";"890,07"
"КРАСНОСЕЛЬСКИЙ";"Пересечение пр. Народного Ополчения и ул. Летчика Пилютова";"0,22";"0";"0,22";"394,33"
"КРАСНОСЕЛЬСКИЙ";"Пересечение пр. Народного Ополчения и ул. Пограничника Гарькавого";"0,18";"0";"0,18";"414,54"
"КРОНШТАДТСКИЙ";"ул. Восстания от ул. Рошаля до д. № 80";"14,16";"1,39";"15,55";"16003,78"
"КРОНШТАДТСКИЙ";"Коммунистическая ул. от Макаровской ул. за Манежный пер.";"3,24";"2,6";"5,84";"8315,71"
"КРОНШТАДТСКИЙ";"Красная ул. от Макаровской ул. до Манежного пер.";"3,04";"3,6";"6,64";"8098,51"
"КРОНШТАДТСКИЙ";"Интернациональная ул. от ул. Комсомола до ул. Мануильского";"2,63";"1,89";"4,52";"5310,31"
"КРОНШТАДТСКИЙ";"Станюковича ул. от ул. Литке до ул. Гидростроителей";"4,91";"1,84";"6,75";"7690,23"
"КРОНШТАДТСКИЙ";"Советская ул. от пр. Ленина до ул. Рошаля";"9,35";"5,59";"14,94";"15643,6"
"КРОНШТАДТСКИЙ";"Проезд  без названия от Кронштадтского шоссе до автозаправочной станции №60";"3";"0";"3";"3702,03"
"КУРОРТНЫЙ";"ул. Воскова (от р. Сестры до линии Сестрорецкой ж.д.) (г. Сестрорецк)";"9,15";"3,92";"13,07";"10372,58"
"КУРОРТНЫЙ";"ул. Мосина (от ул. Воскова до 3-й Поперечной ул.) (г. Сестрорецк)";"15,26";"5,25";"20,51";"16703,05"
"КУРОРТНЫЙ";"ул. Борисова (от ул. Володарского до наб. р. Сестры) (г. Сестрорецк)";"5,93";"0,94";"6,87";"5962,36"
"КУРОРТНЫЙ";"пл. Свободы (на пересечении ул. Володарского и пер. Свободы) (г. Сестрорецк)";"17,72";"0,31";"18,03";"16606,62"
"КУРОРТНЫЙ";"пер. Свободы (от ул. Володарского до Приморского шоссе) (г. Сестрорецк)";"3,45";"1,32";"4,77";"5080,48"
"КУРОРТНЫЙ";"Средний пр. (от Бассейной ул. до Широкой ул.) (г. Зеленогорск)";"9,7";"0";"9,7";"8506,75"
"МОСКОВСКИЙ";"Авиационная ул. от Московского пр. до местного проезда пр. Юрия Гагарина";"4,15";"7,17";"11,32";"22841,75"
"МОСКОВСКИЙ";"Витебский пр. от Бассейной ул. до Звездной ул.";"131,01";"34,15";"165,16";"236575,62"
"МОСКОВСКИЙ";"Варшавская ул. от Ленинского пр. до Бассейной ул.";"0";"0,96";"0,96";"5967,1"
"МОСКОВСКИЙ";"Витебский пр., боковой проезд у Кузнецовской ул.";"0";"1,2";"1,2";"3633,52"
"МОСКОВСКИЙ";"ул. Емельянова от Воздухоплавательной ул. в направлении Лиговского пр.";"2,49";"2,22";"4,71";"5554,04"
"МОСКОВСКИЙ";"Иркутская ул. от Люботинского пр. до тупика";"4,15";"0,92";"5,07";"5122,5"
"МОСКОВСКИЙ";"ул. Кондратенко от Люботинского пр. до Витебского пр.";"2,91";"0,55";"3,46";"4906,66"
"МОСКОВСКИЙ";"Краснопутиловская ул. от д. 98 до д. 106 (разделительная полоса)";"0";"0,45";"0,45";"2378,71"
"МОСКОВСКИЙ";"Московское шоссе от ул. Ленсовета до ж.д. переезда по Московскому шоссе";"1";"12,52";"13,52";"10374,65"
"МОСКОВСКИЙ";"4-й Предпортовый проезд от Предпортовой ул. до 6-го Предпортового проезда";"4,04";"2,83";"6,87";"9949,11"
"МОСКОВСКИЙ";"ул. Шереметьевская от Внуковской ул. до Штурманской ул.";"5,59";"8,39";"13,98";"16818,72"
"МОСКОВСКИЙ";"Дунайский пр. от ул. Ленсовета до Витебского пр.";"38,14";"0,2";"38,34";"37833,75"
"МОСКОВСКИЙ";"Пересечение Московского пр. и ул. Решетникова";"0,58";"0";"0,58";"962,99"
