Район;Объект;Площадь проезжей части, тыс. м2;Площадь тротуара, тыс. м2;Всего, тыс. м2;Стоимость, тыс. руб.
"КРАСНОСЕЛЬСКИЙ";"ул. Свободы от пр. Ленина до дома №52 по ул. Свободы";"14,26";"1,17";"15,43";"13862,64"
"КРАСНОСЕЛЬСКИЙ";"Трудовая ул. от Интернациональной ул. в направлении Волхонского шоссе. (Володарский)";"4,81";"0";"4,81";"3370,07"
"КРАСНОСЕЛЬСКИЙ";"Федеративная ул. от Интернациональной ул. до Пролетарской ул.";"1,68";"0";"1,68";"1582,82"
"КРАСНОСЕЛЬСКИЙ";"Черниговский пер. (Володарский)";"0,81";"0";"0,81";"1107,96"
"КРАСНОСЕЛЬСКИЙ";"ул. Бабанова от Интернациональной ул. до ул. Академика Павлова";"9,68";"0";"9,68";"4211,3"
"ПЕТРОДВОРЦОВЫЙ";"проезд без названия от Краснофлотского шоссе до здания Мортеплотехники";"8,36";"0,04";"8,4";"11626,36"
"ПЕТРОДВОРЦОВЫЙ";"проезд без названия от Гостилицкого шоссе до д. 137 по Гостилицкому шоссе";"12,21";"0";"12,21";"13183,71"
"ПЕТРОДВОРЦОВЫЙ";"Ректорский проезд от Ботанической ул. до Университетского пр.";"5,93";"1,54";"7,47";"7141,13"
"ПЕТРОДВОРЦОВЫЙ";"Скороходовская ул. от Ольгинского шоссе до Прогонной ул.";"5,64";"0";"5,64";"8760,28"
"ПЕТРОДВОРЦОВЫЙ";"Сосновый пер. от ул. Немкова до ул. Верещагина";"2,1";"0";"2,1";"2473,24"
"ПРИМОРСКИЙ";"Байконурская ул. от пр. Испытателей до пр. Королева.";"5,51";"2,53";"8,04";"8653,65"
"ПРИМОРСКИЙ";"Байконурская ул. от. ул. Генерала  Хрулева до Богатырского пр. (нечётная сторона)";"0,05";"1,62";"1,67";"1369,43"
"ПРИМОРСКИЙ";"ул. Генерала Хрулева тротуар по нечетной стороне.";"0,15";"4,13";"4,28";"7955,6"
"ПРИМОРСКИЙ";"Долгоозерная ул. от Планерной ул. до Комендантского пр. (чётная сторона)";"8";"2,8";"10,8";"12392,87"
"ПРИМОРСКИЙ";"Лисичанская ул. от Торжковской ул. до Вазаского пер.";"6,83";"3,92";"10,75";"11172,51"
"ПРИМОРСКИЙ";"Мгинский пер. от Первомайского пр. до Главной ул. и Афонской ул.";"1,29";"0";"1,29";"2046,63"
"ПРИМОРСКИЙ";"Земледельческий пер. от 3-й линии 1-й половины до 2-й Никитинской ул.";"1,38";"0,19";"1,57";"2188,04"
"ПРИМОРСКИЙ";"Новоорловская ул. от  Железнодорожной ул. до Заповедной ул.";"8,41";"0";"8,41";"6342,99"
"ПРИМОРСКИЙ";"Сабировская ул. от линии Сестрорецкой ж.д. до ул. Полевой Сабировской";"6,62";"2,76";"9,38";"11688"
"ПРИМОРСКИЙ";"Тбилисская ул.от ул. Аккуратова до Горной ул.";"2,24";"0";"2,24";"3028,33"
"ПРИМОРСКИЙ";"наб. Черной речки от ул. Графова до Ланского шоссе (нечетная сторона) и от Школьной ул. до ул. Савушкина (четная сторона)";"0,3";"6,94";"7,24";"6323,65"
"ПРИМОРСКИЙ";"Эстонская ул. от Новосельковской ул. до Репищевой ул.";"2,68";"0";"2,68";"3874,89"
"ПРИМОРСКИЙ";"Сердобольская ул. от Б. Сампсониевского пр. до Торжковской ул.";"3,25";"0";"3,25";"9122,88"
"ПРИМОРСКИЙ";"Коломяжский пр. от дома №21 до дома №27";"0,05";"1,39";"1,43";"4838,98"
"ПУШКИНСКИЙ";"Дворцовая ул. от Садовой ул. до Октябрьского бульв.";"16,39";"7,37";"23,76";"31920,09"
"ПУШКИНСКИЙ";"Конюшенная ул. от Садовой ул. до Гуммолосаровской ул. (г. Павловск)";"5,04";"4,29";"9,33";"11853,99"
"ПУШКИНСКИЙ";"Малая ул. от Дворцовой ул. до Леонтьевской ул.";"4,93";"1,47";"6,4";"7219,14"
"ПУШКИНСКИЙ";"Пушкинская ул. от Школьной ул. до Первомайской ул.";"5,76";"0";"5,76";"7513,13"
"ПУШКИНСКИЙ";"Удаловская ул. от Новодеревенской ул. до Московского шоссе";"8,65";"1,78";"10,43";"11349,95"
"ПУШКИНСКИЙ";"Фермская дорога от Дворцовой ул. вдоль Александровского парка до Пенсионерских конюшен";"7,2";"0";"7,2";"66070,35"
"ПУШКИНСКИЙ";"Новая ул. от Леонтьевской ул. до Церковной ул.";"2,46";"0";"2,46";"2536,78"
"ПУШКИНСКИЙ";"Оранжерейная ул. от Садовой ул. до Железнодорожной ул.";"34,9";"13,98";"48,88";"62342,47"
"ФРУНЗЕНСКИЙ";"Альпийский пер. от Белградской ул. до Будапештской ул.";"7,12";"4,74";"11,86";"11729,27"
"ФРУНЗЕНСКИЙ";"Дунайский пр. от М. Балканской ул. до д. №35";"29,36";"11,36";"40,72";"54756,43"
"ФРУНЗЕНСКИЙ";"Пересечение Купчинской ул. и Дунайского пр.";"0,86";"0";"0,86";"1137,11"
"ФРУНЗЕНСКИЙ";"пересечение ул. Бухарестской и пр. Славы";"2,42";"0";"2,42";"3549,92"
"ФРУНЗЕНСКИЙ";"пересечение ул. Бухарестской и ул. Салова";"3,85";"0";"3,85";"3366,48"
"ФРУНЗЕНСКИЙ";"Пересечение ул. Бухарестской и ул. Олеко Дундича";"1,2";"0";"1,2";"1735,61"
"ФРУНЗЕНСКИЙ";"Магистральная развязка под Ивановским путепроводом";"23,29";"5,93";"29,22";"36481,91"
"ФРУНЗЕНСКИЙ";"Боровая ул. от наб. Обводного кан. до Витебской ж.д.";"18,34";"8,72";"27,06";"34281,91"
