Наименование остановки;Официальное наименование;Расположение;Широта;Долгота;Тип объекта;Маршруты
"ВОЛКОВИЦЫ [484] [тест]";"ВОЛКОВИЦЫ";"";"59,64887768";"29,8223648";"Остановка";"484"
"ВОЛКОВИЦЫ [484] [тест] <";"ВОЛКОВИЦЫ";"";"59,648536";"29,8225594";"Остановка";"484"
"ДОРОГА НА РУССКО-ВЫСОЦКУЮ ПТИЦЕФАБРИКУ [тест]";"ДОРОГА НА РУССКО-ВЫСОЦКУЮ ПТИЦЕФАБРИКУ";"Нарвское ш.";"59,69820503";"29,9638596";"Остановка";"484"
"ДОРОГА НА РУССКО-ВЫСОЦКУЮ ПТИЦЕФАБРИКУ [тест]<";"ДОРОГА НА РУССКО-ВЫСОЦКУЮ ПТИЦЕФАБРИКУ";"Нарвское ш.";"59,69880811";"29,9621525";"Остановка";"481,484,484Б,547"
"РУССКО-ВЫСОЦКОЕ, ПАМЯТНИК [тест]";"РУССКО-ВЫСОЦКОЕ, ПАМЯТНИК";"Нарвское ш.";"59,69388666";"29,9336758";"Остановка";"481,484,484Б,547"
"РУССКО-ВЫСОЦКОЕ, ПАМЯТНИК [тест]<";"РУССКО-ВЫСОЦКОЕ, ПАМЯТНИК";"Нарвское ш.";"59,69350408";"29,9326591";"Остановка";"481,484,484Б,547"
"КРАСНОСЕЛЬСКОЕ ШОССЕ, 65";"КРАСНОСЕЛЬСКОЕ ШОССЕ, 65";"";"59,70372884";"30,3596344";"Остановка";"186,188,273,372,376,380,380Э,381"
"СТРЕЛЬНА, Ж/Д СТ. [тест] <";"СТРЕЛЬНА, Ж/Д СТ.";"Фронтовая ул., Вокзальная ул.";"59,8460402";"30,03335";"Остановка";"162,163"
"УЛ. СВЯЗИ [тест]";"УЛ. СВЯЗИ";"улица Связи, улица Свободы";"59,84807471";"30,0085487";"Остановка";"162,163"
"БСХ, БЫТОВЫЕ ПРИБОРЫ";"БСХ, БЫТОВЫЕ ПРИБОРЫ";"ул. Связи, ул. Новые Заводы";"59,84043351";"29,9968796";"Остановка";"162,163"
"Средний пр.В.О.";"СРЕДНИЙ ПР.В.О.";"Наличная, Средний";"59,93160151";"30,2368011";"Остановка";"152"
"АЛЬПИЙСКИЙ ПЕР. [тест]";"АЛЬПИЙСКИЙ ПЕР.";"ул. Бухарестская, Южное ш.";"59,85548434";"30,3963737";"Остановка";"54,56,57"
"ШОССЕ РЕВОЛЮЦИИ [80, 123,136]";"ШОССЕ РЕВОЛЮЦИИ";"Энергетиков пр., Революции ш.";"59,95948376";"30,4376698";"Остановка";"82"
"Б. ПОРОХОВСКАЯ УЛ. [80, 123]";"Б. ПОРОХОВСКАЯ УЛ.";"Энергетиков пр., Большая Пороховская ул.";"59,95256584";"30,4366856";"Остановка";"82,123"
"НОВОСЕЛЬЕ 1 [тест]";"НОВОСЕЛЬЕ 1";"Красносельское ш.";"59,80644034";"30,0769405";"Остановка";"129,461,462,488"
"ВЛАДИМИРСКАЯ ПЛОЩАДЬ";"ВЛАДИМИРСКАЯ ПЛОЩАДЬ";"Загородный пр., Бол. Московская ул.";"59,9281518";"30,346859";"Остановка";"1М,1МБ"
"ПР.ВЕТЕРАНО";"ПР.ВЕТЕРАНОВ";"улица Пограничника Гарькавого, проспект Ветеранов";"59,83569419";"30,1467819";"Остановка";"229"
"ЗАГРЕБСКИЙ БУЛЬВАР [56] [тест]<";"ЗАГРЕБСКИЙ БУЛЬВАР";"Олеко Дундича ул., Загребcкий бульвар";"59,83162697";"30,4128819";"Остановка";"56,96"
"ЛЕРМОНТОВСКИЙ ПР. [70] [тест]";"ЛЕРМОНТОВСКИЙ ПР.";"Лермонтовский пр., Садовая ул.";"59,92007711";"30,2948532";"Остановка";"22,7"
"КРАСНОГОРОДСКАЯ УЛ., 17 [145А] [тест]";"КРАСНОГОРОДСКАЯ УЛ., 17";"Красногородская ул., Гатчинское ш.";"59,71775308";"30,0760937";"Остановка";"144,145А"
"НАРВСКАЯ УЛ., 10 [145А][тест]";"НАРВСКАЯ УЛ., 10";"Нарвская ул., Красногородская ул.";"59,71822493";"30,0708981";"Остановка";"144,145А"
"НАРВСКАЯ УЛ., 2 [145А][тест]";"НАРВСКАЯ УЛ., 2";"Нарвская ул., Кингисеппское ш.";"59,72072873";"30,0686131";"Остановка";"144,145А"
"СТ.МЕТРО «ЛЕНИНСКИЙ ПР.»";"СТ.МЕТРО «ЛЕНИНСКИЙ ПР.»";"Новаторов бул., Ленинский пр.";"59,85125144";"30,2674618";"Остановка";"18,18А,142"
"УЛ. ДОБЛЕСТИ";"УЛ. ДОБЛЕСТИ";"Доблести ул., Маршала Захарова ул.";"59,8567637";"30,1767082";"Остановка";"2А,111,142,160"
"УСТЬ-ИЖОРА, ПОЛЕВАЯ УЛИЦА[115, 115А][тест]";"УСТЬ-ИЖОРА, ПОЛЕВАЯ УЛИЦА";"Петрозаводское шоссе, улица Некрасова";"59,81591289";"30,5743408";"Остановка";"115,189"
"ДОРОГА НА МЕТАЛЛОСТРОЙ";"ДОРОГА НА МЕТАЛЛОСТРОЙ";"Центральная улица, Центральная ул.";"59,81303157";"30,5804195";"Остановка";"115,335,335А,337,337А"
"ДОРОГА НА МЕТАЛЛОСТРОЙ";"ДОРОГА НА МЕТАЛЛОСТРОЙ";"Петрозаводское шоссе, ул. Центральная";"59,81347117";"30,5806389";"Остановка";"115,115А,189,327"
"ПОС. МЕТАЛЛОСТРОЙ, 3А";"ПОС. МЕТАЛЛОСТРОЙ, 3А";"";"59,79019887";"30,568491";"Остановка";"115,335,337,396А"
"БУДАПЕШТСКАЯ УЛ.";"БУДАПЕШТСКАЯ УЛ.";"Димитрова ул., Будапештская ул.";"59,8483526";"30,3876476";"Остановка";"54,157"
"БУХАРЕСТСКАЯ УЛ. [][тест]";"БУХАРЕСТСКАЯ УЛ.";"Димитрова ул., Бухарестская ул.";"59,85150873";"30,4007797";"Остановка";"157"
"МАЛАЯ БУХАРЕСТСКАЯ УЛ. [][тест]";"МАЛАЯ БУХАРЕСТСКАЯ УЛ.";"ул. Димитрова, ул. Малая Бухарестская";"59,85162193";"30,4113998";"Остановка";"157"
"МАЛАЯ БУХАРЕСТСКАЯ УЛ. [][тест]<";"МАЛАЯ БУХАРЕСТСКАЯ УЛ.";"Димитрова ул., Малая Бухарестская ул.";"59,85209189";"30,4094906";"Остановка";"157"
"СОФИЙСКАЯ УЛ. [][тест]";"СОФИЙСКАЯ УЛ.";"пр. Александровской фермы, ул. Софийская";"59,85198555";"30,4275703";"Остановка";"53,117,157"
"СОФИЙСКАЯ УЛ. [][тест]<";"СОФИЙСКАЯ УЛ.";"ул. Димитрова, ул. Софийская";"59,85212276";"30,4243298";"Остановка";"157"
""КЛАДБИЩЕ "ПАМЯТИ ЖЕРТВ ДЕВЯТОГО ЯНВАРЯ"";""КЛАДБИЩЕ "ПАМЯТИ ЖЕРТВ ДЕВЯТОГО ЯНВАРЯ"";"Александровской фермы пр.";"59,8530661";"30,4386597";"Остановка";"53,117,157"
""КЛАДБИЩЕ "ПАМЯТИ ЖЕРТВ ДЕВЯТОГО ЯНВАРЯ"";""КЛАДБИЩЕ "ПАМЯТИ ЖЕРТВ ДЕВЯТОГО ЯНВАРЯ"";"Александровской фермы пр.";"59,85321703";"30,4385376";"Остановка";"53,117,157"
"УЛ. СЕДОВА [][тест]";"УЛ. СЕДОВА";"Седова ул., Александровской фермы пр.";"59,86146916";"30,4495945";"Остановка";"5,115,115А,157"
"УЛ. СЕДОВА [][тест]<";"УЛ. СЕДОВА";"Александровской фермы пр., Седова ул.";"59,86077984";"30,4504108";"Остановка";"53,117"
"ПОЛЕВАЯ УЛ., 22";"ПОЛЕВАЯ УЛ., 22";"ул. Полевая, ул. Хвойная";"59,8158339";"30,5686836";"Остановка";"115А"
"ОТДЕЛЕНИЕ «НОЙДОРФ»";"ОТДЕЛЕНИЕ «НОЙДОРФ»";"улица Связи, Охотничья улица";"59,84107177";"30,0029888";"Остановка";"162,163"
"ОХОТНИЧЬЯ УЛ.";"ОХОТНИЧЬЯ УЛ.";"Кирпичная улица, Охотничья улица";"59,84180267";"30,0083504";"Остановка";"162,163"
"БУЛЬВАР НОВАТОРОВ ПО ДАЧНОМУ ПР. [162][тест]";"БУЛЬВАР НОВАТОРОВ ПО ДАЧНОМУ ПР.";"Дачный пр., Новаторов бул.";"59,84221787";"30,2546234";"Остановка";"68,162"
"БАССЕЙНАЯ [][тест]";"БАССЕЙНАЯ";"Витебский пр., Бассейная ул.";"59,86499095";"30,3567047";"Остановка";"72"
"БАССЕЙНАЯ [][тест]<";"БАССЕЙНАЯ";"ул. Бассейная, Витебский пр.";"59,86517269";"30,3560696";"Остановка";"72"
"ЛЕОНТЬЕВСКАЯ УЛ. [187][тест]<";"ЛЕОНТЬЕВСКАЯ УЛ.";"Октябрьский бульвар, ул. Леонтьевская";"59,72404159";"30,4099522";"Остановка";"187"
"УНИВЕРСИТЕТСКИЙ ПР.";"УНИВЕРСИТЕТСКИЙ ПР.";"Университетский пр., Шахматова ул.";"59,87221169";"29,8689537";"Остановка";"356,356АШ,360"
"УНИВЕРСИТЕТСКИЙ ПР.[тест]";"УНИВЕРСИТЕТСКИЙ ПР.";"Чичеринская ул., Университетский пр.";"59,87444685";"29,8561096";"Остановка";"210,344,352,356,356Б,358,359"
"НОВОЧЕРКАССКИЙ ПР.";"НОВОЧЕРКАССКИЙ ПР.";"Красногвардейская пл., Новочеркасский пр.";"59,94262585";"30,4093781";"Остановка";"181"
"МОСКОВСКАЯ СЛАВЯНКА []<";"МОСКОВСКАЯ СЛАВЯНКА";"Колпинское ш.";"59,74854032";"30,4964714";"Остановка";"179,325,374"
"САДОВАЯ УЛ.";"САДОВАЯ УЛ.";"Садовая ул., Невский пр.";"59,93388058";"30,3343449";"Остановка";"181"
"ВОЗНЕСЕНСКИЙ ПР.";"ВОЗНЕСЕНСКИЙ ПР.";"Садовая ул., Вознесенский пр.";"59,92262741";"30,3076096";"Остановка";"181"
"ВОЗНЕСЕНСКИЙ ПР.";"ВОЗНЕСЕНСКИЙ ПР.";"Садовая ул., переулок Бойцова";"59,92303817";"30,3092823";"Остановка";"181"
"ПОЛЮСТРОВСКИЙ ПР.";"ПОЛЮСТРОВСКИЙ ПР.";"Пискаревский пр., Среднеохтинский пр.";"59,96359005";"30,4091663";"Остановка";"133,181"
"ПР. МЕТАЛЛИСТОВ, УГ.АПРЕЛЬСКОЙ УЛ.";"ПР. МЕТАЛЛИСТОВ, УГ.АПРЕЛЬСКОЙ УЛ.";"Апрельская ул., Металлистов пр.";"59,96485501";"30,4197769";"Остановка";"181,183"
"ПАРКОВАЯ УЛ., УГ. САДОВОЙ УЛ. [188]";"ПАРКОВАЯ УЛ., УГ. САДОВОЙ УЛ.";"Парковая ул., Павловское ш.";"59,71201457";"30,4096222";"Остановка";"188,378,380"
"УЛ.АПРЕЛЬСКАЯ,УГ.УЛ.М.ТУХАЧЕВСКОГО";"УЛ.АПРЕЛЬСКАЯ,УГ.УЛ.М.ТУХАЧЕВСКОГО";"Маршала Тухачевского ул., Апрельская ул.";"59,96882049";"30,4268475";"Остановка";"181,183"
""КОЛПИНО, 2-Е ОТД. К-ТА "ПОБЕДА"";""КОЛПИНО, 2-Е ОТД. К-ТА "ПОБЕДА"";"Загородная улица";"59,78123467";"30,5940018";"Остановка";"327,332,336,337,337А,387,389"
"УСТЬ-ИЖОРА, Ж.-Д. ПЕРЕЕЗД";"УСТЬ-ИЖОРА, Ж.-Д. ПЕРЕЕЗД";"ул. Загородная, ул. Колпинская";"59,78988269";"30,6010094";"Остановка";"327,332,336,337,337А"
"УСТЬ-ИЖОРА,УЛ. ТРУДА,24";"УСТЬ-ИЖОРА,УЛ. ТРУДА,24";"Загородная ул., Петрозаводское шоссе";"59,79705444";"30,6052723";"Остановка";"327,337"
"СЛАВЯНСКАЯ ДОРОГА";"СЛАВЯНСКАЯ ДОРОГА";"Петрозаводское шоссе, Социалистическая улица";"59,80315283";"30,5966187";"Остановка";"189,327,335,335А,337,337А"
"УСТЬ-ИЖОРА, ПЛАНОВАЯ УЛ.";"УСТЬ-ИЖОРА, ПЛАНОВАЯ УЛ.";"Петрозаводское шоссе, Плановая улица";"59,80881388";"30,5881252";"Остановка";"189,327,335,335А,337,337А"
"УСТЬ-ИЖОРА, ПОЛЕВАЯ УЛ.";"УСТЬ-ИЖОРА, ПОЛЕВАЯ УЛ.";"Петрозаводское шоссе, улица Некрасова";"59,81636962";"30,5739288";"Остановка";"189,327"
"ПР. ОБУХОВСКОЙ ОБОРОНЫ, ПЕРЕСЕЧКА";"ПР. ОБУХОВСКОЙ ОБОРОНЫ, ПЕРЕСЕЧКА";"проспект Обуховской обороны, Рабфаковская улица";"59,85543975";"30,4805737";"Остановка";"189,327"
"УСТЬ-ИЖОРА, ПОЛЕВАЯ УЛ.";"УСТЬ-ИЖОРА, ПОЛЕВАЯ УЛ.";"Петрозаводское шоссе, улица Некрасова";"59,81601591";"30,5745506";"Остановка";"327"
"ДОРОГА НА МЕТАЛЛОСТРОЙ";"ДОРОГА НА МЕТАЛЛОСТРОЙ";"Петрозаводское шоссе, Центральная ул.";"59,81263661";"30,5819092";"Остановка";"189,327,335,335А,337,337А"
"УСТЬ-ИЖОРА, ПЛАНОВАЯ УЛ.";"УСТЬ-ИЖОРА, ПЛАНОВАЯ УЛ.";"Петрозаводское шоссе, Плановая улица";"59,80754641";"30,5895519";"Остановка";"189,327,335,335А,337,337А"
"СЛАВЯНСКАЯ ДОРОГА";"СЛАВЯНСКАЯ ДОРОГА";"Петрозаводское шоссе, Славянская дорога";"59,80374715";"30,5951595";"Остановка";"189,327,335,335А,337,337А"
"УСТЬ-ИЖОРЫ, УЛ. ТРУДА,24";"УСТЬ-ИЖОРЫ, УЛ. ТРУДА,24";"ул. Загородная, Петрозаводское шоссе";"59,79713347";"30,6048489";"Остановка";"327,337"
"УСТЬ-ИЖОРА,Ж.-Д. ПЕРЕЕЗД";"УСТЬ-ИЖОРА,Ж.-Д. ПЕРЕЕЗД";"Загородная улица, Колпинская улица";"59,7901267";"30,6005898";"Остановка";"327,332,336,337,337А"
""КОЛПИНО, 2-Е ОТД. К-ТА "ПОБЕДА"";""КОЛПИНО, 2-Е ОТД. К-ТА "ПОБЕДА"";"Загородная улица";"59,78138592";"30,5937328";"Остановка";"327,332,336,337,337А"
"УЛ. ЗАГОРОДНАЯ ,55";"УЛ. ЗАГОРОДНАЯ ,55";"Загородная улица";"59,77716767";"30,593647";"Остановка";"327,332,336,337,337А,387,389"
"ШКОЛА № 452";"ШКОЛА № 452";"Загородная улица";"59,77285605";"30,5941181";"Остановка";"327,332,336,337,337А,387,389"
"ДОРОГА К КИРПИЧНОМУ ЗАВОДУ";"ДОРОГА К КИРПИЧНОМУ ЗАВОДУ";"Загородная улица, Балканская дорога";"59,77020829";"30,5936546";"Остановка";"327,332,336,337,337А,387,389"
"ДЕРЕВООБРАБАТЫВАЮЩИЙ КОМБИНАТ";"ДЕРЕВООБРАБАТЫВАЮЩИЙ КОМБИНАТ";"Загородная улица, Механическая улица";"59,76577539";"30,5962601";"Остановка";"327,332,336,337,337А,387,389"
"САПЕРНЫЙ ПЕР.";"САПЕРНЫЙ ПЕР.";"Загородная улица, Сапёрный переулок";"59,75941562";"30,5991554";"Остановка";"327,337,389"
"УЛ. ТРУДА";"УЛ. ТРУДА";"улица Урицкого, Труда ул.";"59,75007842";"30,6025124";"Остановка";"327,332,336,337,337А,387,389,475"
"БУЛЬВАР СВОБОДЫ";"БУЛЬВАР СВОБОДЫ";"бул. Свободы, ул. Урицкого";"59,74739444";"30,6005592";"Остановка";"192,325,327,332,336,337,337А,367,368,369,386,389,390,394,475"
"УСТЬ-ИЖОРА, УЛ.ТРУДА";"УСТЬ-ИЖОРА, УЛ.ТРУДА";"Петрозаводское шоссе, ул. Труда";"59,79767292";"30,6048412";"Остановка";"189,327,335,335А"
"УСТЬ-ИЖОРА, УЛ.ТРУДА";"УСТЬ-ИЖОРА, УЛ.ТРУДА";"Петрозаводское шоссе, улица Труда";"59,79759389";"30,6045952";"Остановка";"189,327,335,335А"
"УЛ. ДИМИТРОВА [78]<";"УЛ. ДИМИТРОВА";"Димитрова ул., Бухарестская ул.";"59,8515739";"30,398737";"Остановка";"54,157"
""АВТОБУСНАЯ СТАНЦИЯ "РУЧЬИ" [ВЫСАДКИ И ПОСАДКИ НЕТ]"";""АВТОБУСНАЯ СТАНЦИЯ "РУЧЬИ" [ВЫСАДКИ И ПОСАДКИ НЕТ]"";"ул. Руставели, Руставели ул.";"60,00350844";"30,4395962";"ДС";"94,131,132,133,136,176,177"
"ЗАМШИНА УЛ. [106] <";"ЗАМШИНА УЛ.";"Полюстровский пр., Замшина ул.";"59,96686174";"30,3938065";"Остановка";"37,105,106,133"
"СЧАСТЛИВАЯ УЛ.";"СЧАСТЛИВАЯ УЛ.";"Новаторов бул., Счастливая ул.";"59,84617401";"30,2705956";"Остановка";"18,18А,142"
"КРОНШТАДСКАЯ ПЛ";"КРОНШТАДСКАЯ ПЛ";"Ленинский пр., Кронштадтская пл.";"59,85207131";"30,2328529";"Остановка";"160"
"УЛ РИХАРДА ЗОРГЕ УГ УЛ ДОБЛЕСТИ";"УЛ РИХАРДА ЗОРГЕ УГ УЛ ДОБЛЕСТИ";"Рихарда Зорге ул., Доблести ул.";"59,8506271";"30,1783276";"Остановка";"87,111,142"
"СЕВЕРНЫЙ ПР. (тест)";"СЕВЕРНЫЙ ПР.";"Тихорецкий пр., Северный пр.";"60,03156905";"30,3644333";"Остановка";"143"
"ПРЕДПОРТОВАЯ УЛ., 10 [тест] <";"ПРЕДПОРТОВАЯ УЛ., 10";"Предпортовая ул., 3-й Предпортовый проезд";"59,832159";"30,3061504";"Остановка";"11,156"
"СТ. ПРЕДПОРТОВАЯ";"СТ. ПРЕДПОРТОВАЯ";"7-й Предпортовый проезд, Предпортовая ул.";"59,83218303";"30,295681";"Остановка";"11,156"
"ПР. АВИАКОНСТРУКТОРОВ, 38'";"ПР. АВИАКОНСТРУКТОРОВ, 38";"Авиаконструкторов пр.";"60,02785335";"30,222641";"Остановка";"79,85,127"
"ПР. АВИАКОНСТРУКТОРОВ, 38*";"ПР. АВИАКОНСТРУКТОРОВ, 38";"Авиаконструкторов пр.";"60,02751213";"30,2219658";"Остановка";"79,85,127,170,182"
"ПОНТОННЫЙ, ВОКЗАЛ";"ПОНТОННЫЙ, ВОКЗАЛ";"Заводская улица, улица Александра Товпеко";"59,78546959";"30,6263638";"Остановка";"189,332,335,335А,336,475"
"ДОРОГА НА КОЛПИНО";"ДОРОГА НА КОЛПИНО";"Петрозаводское шоссе, Лагерное шоссе";"59,77591275";"30,6537876";"Остановка";"189,332,335,335А,336,475"
"ОТРАДНОЕ, СУДОРЕМ.МАСТЕРСКИЕ";"ОТРАДНОЕ, СУДОРЕМ.МАСТЕРСКИЕ";"Петрозаводское ш.";"59,76000728";"30,765173";"Остановка";"438,438З,475"
"ОТРАДНОЕ, ДОРОГА НА НИКОЛЬСКОЕ";"ОТРАДНОЕ, ДОРОГА НА НИКОЛЬСКОЕ";"Петрозаводское ш., Sovetsky pr.";"59,76351917";"30,7748718";"Остановка";"475"
"ПАВЛОВО, ЛЕНИНГРАДСКИЙ ПР.";"ПАВЛОВО, ЛЕНИНГРАДСКИЙ ПР.";"Петрозаводское ш.";"59,81040416";"30,913269";"Остановка";"475"
"КИРОВСК, АВТОВОКЗАЛ";"КИРОВСК, АВТОВОКЗАЛ";"Магистральная, Безымянный пер.";"59,87340128";"30,9804211";"Остановка";"475"
"54 КМ - 2";"54 КМ - 2";"Мурманское ш.";"59,88868392";"31,2362728";"Остановка";"469,475"
"55 Км (тест)";"55 КМ";"Мурманское ш.";"59,88946517";"31,244339";"Остановка";"469,475"
"54 КМ - 2 (ТЕСТ)<";"54 КМ - 2";"Мурманское ш.";"59,88917391";"31,2358189";"Остановка";"469,475"
"КИРОВСК, АВТОВОКЗАЛ (тест)<";"КИРОВСК, АВТОВОКЗАЛ";"Шлиссельбургский пр.ул. Кирова";"59,87508104";"30,9807415";"Остановка";"475"
"ПАВЛОВО, ЛЕНИНГРАДСКИЙ ПР.";"ПАВЛОВО, ЛЕНИНГРАДСКИЙ ПР.";"Петрозаводское ш.";"59,81066176";"30,9119606";"Остановка";"475"
"ОТРАДНОЕ, ДОРОГА НА НИКОЛЬСКОЕ";"ОТРАДНОЕ, ДОРОГА НА НИКОЛЬСКОЕ";"Петрозаводское ш., Sovetsky pr.";"59,76309267";"30,7732601";"Остановка";"475"
"ОТРАДНОЕ, СУДОРЕМ.МАСТЕРСКИЕ";"ОТРАДНОЕ, СУДОРЕМ.МАСТЕРСКИЕ";"Петрозаводское ш.";"59,76015519";"30,7635098";"Остановка";"438,438З,475"
"ДОРОГА НА КОЛПИНО";"ДОРОГА НА КОЛПИНО";"Петрозаводское шоссе, Лагерное шоссе";"59,77622907";"30,6543331";"Остановка";"189,332,335,335А"
"ПОНТОННЫЙ, ВОКЗАЛ";"ПОНТОННЫЙ, ВОКЗАЛ";"Заводская улица, улица Александра Товпеко";"59,78569988";"30,6264725";"Остановка";"189,332,335,335А,336,475"
"СЧАСТЛИВАЯ УЛ. УГ. БУЛЬВ.НОВАТОРОВ";"СЧАСТЛИВАЯ УЛ. УГ. БУЛЬВ.НОВАТОРОВ";"Счастливая ул., Новаторов бул.";"59,84585836";"30,2702618";"Остановка";"195"
"ОЛЬГИНО,КЛЮЧЕВОЙ ПР. [101]";"ОЛЬГИНО,КЛЮЧЕВОЙ ПР.";"Приморское шоссе, Вокзальная улица";"59,99547943";"30,1442547";"Остановка";"101,110,120,211,216"
""МОТЕЛЬ-КЕМПИНГ "ОЛЬГИНО"";""МОТЕЛЬ-КЕМПИНГ "ОЛЬГИНО"";"Приморское шоссе, Лахтинский проспект";"59,99661338";"30,1151829";"Остановка";"101,110,120,211,216"
""Ж.Д. СТ. "ПОС.ЛИСИЙ НОС" [101]"";""Ж.Д. СТ. "ПОС.ЛИСИЙ НОС"";"Приморское ш., Раздельный проспект";"60,01721575";"30,0110836";"Остановка";"101,120,211,216"
"ПОС. ЛИСИЙ НОС,ВОЕННАЯ УЛ.(ПО ТРЕБОВАНИЮ) [101]";"ПОС. ЛИСИЙ НОС,ВОЕННАЯ УЛ.";"Приморское ш., Ленинградское ш.";"60,02787041";"29,9993801";"Остановка";"101,120,211,216"
"ГОРСКАЯ [101]";"ГОРСКАЯ";"Приморское ш.";"60,03995428";"29,9738827";"Остановка";"101,215"
"КРОНШТАДСКОЕ ШОССЕ, 38 [101]";"КРОНШТАДСКОЕ ШОССЕ, 38";"Кронштадтское шоссе, ул. Литке";"60,01161744";"29,7244415";"Остановка";"2КР,101,175,215"
"БАЗА РСУ [101]";"БАЗА РСУ";"Кронштадтское шоссе";"60,0064723";"29,7422295";"Остановка";"2КР,3КР,101,175,215"
"16 КВАРТАЛ";"16 КВАРТАЛ";"Кронштадтское шоссе";"60,00251133";"29,7575054";"Остановка";"2КР,3КР,101,175,215"
"ГРАЖДАНСКАЯ УЛ.";"ГРАЖДАНСКАЯ УЛ.";"Гражданская ул., пр. Ленина";"59,99776778";"29,7661629";"Остановка";"101,175,215"
"16 КВАРТАЛ [101]<";"16 КВАРТАЛ";"Кронштадтское шоссе";"60,00272988";"29,7572327";"Остановка";"2КР,3КР,101,175,215"
"БАЗА РСУ [101]<";"БАЗА РСУ";"Кронштадтское шоссе";"60,00665668";"29,7422848";"Остановка";"2КР,3КР,101,175,215"
"КРОНШТАДСКОЕ ШОССЕ,38 [101]<";"КРОНШТАДСКОЕ ШОССЕ,38";"Кронштадтское шоссе, ул. Литке";"60,01142967";"29,7258511";"Остановка";"2КР,101,101А,175,215"
"ГОРСКАЯ [101]<";"ГОРСКАЯ";"Приморское ш., Ленинградское ш.";"60,03748123";"29,9752579";"Остановка";"101,101А,215"
"ПОС. ЛИСИЙ НОС,ВОЕННАЯ УЛ.(ПО ТРЕБОВАНИЮ) [101]<";"ПОС. ЛИСИЙ НОС,ВОЕННАЯ УЛ.";"Ленинградское шоссе, Приморское шоссе";"60,02792842";"29,9983997";"Остановка";"101,101А,120,211,216"
""Ж.-Д.СТ. "ПОС.ЛИСИЙ НОС" [101]<"";""Ж.-Д.СТ. "ПОС.ЛИСИЙ НОС"";"Приморское ш., Балтийский пр.";"60,0170997";"30,010582";"Остановка";"101,101А,120,211,216"
""МОТЕЛЬ-КЕМПИНГ "ОЛЬГИНО" "";""МОТЕЛЬ-КЕМПИНГ "ОЛЬГИНО"";"Приморское шоссе";"59,99554433";"30,1168213";"Остановка";"101,101А,110,120,211,216"
""Ж.-Д. СТ."ОЛЬГИНО" [101]<"";""Ж.-Д. СТ."ОЛЬГИНО"";"Лахтинский проспект, Приморское шоссе";"59,99443084";"30,1337395";"Остановка";"101,101А,110,120,211,216"
"БОЛЬНИЦА [101]";"БОЛЬНИЦА";"Лахтинский проспект, Берёзовая аллея";"59,99271271";"30,1451225";"Остановка";"101,101А,110,120,211,216"
"ЯХТЕННАЯ УЛ. [101]<";"ЯХТЕННАЯ УЛ.";"Савушкина ул., Яхтенная ул.";"59,98691551";"30,2158833";"Остановка";"32,93,101,101А,110,120,134А,134Ш,170,211,216"
"УЛ.ШИШКИНА";"УЛ.ШИШКИНА";"Выборгское ш., Шишкина ул.";"60,08752347";"30,2611637";"Остановка";"75,104,109,109А"
"ПОС. ОСИНОВАЯ РОЩА,1";"ПОС. ОСИНОВАЯ РОЩА,1";"";"60,10944436";"30,2526627";"Остановка";"104,433,436,567"
"ПОС. ЮККИ,1";"ПОС. ЮККИ,1";"Юкки-Кузьмолово ш.";"60,10940011";"30,2772999";"Остановка";"104"
"ПОС. ЮККИ,2 ( ВЫСАДКА)";"ПОС. ЮККИ,2 ( ВЫСАДКА)";"Юкки-Кузьмолово ш.";"60,11032253";"30,2832222";"Остановка";"104"
"ПОС. ЮККИ,1";"ПОС. ЮККИ,1";"Юкки-Кузьмолово ш.";"60,10942734";"30,2760296";"Остановка";"148"
"ПОС. ОСИНОВАЯ РОЩА,1<";"ПОС. ОСИНОВАЯ РОЩА,1";"";"60,10980176";"30,2533321";"Остановка";"148,433,436,567"
"УЛ. ШИШКИНА";"УЛ. ШИШКИНА";"Выборгское ш., Шишкина ул.";"60,08718286";"30,2610168";"Остановка";"75,109,109А,148"
"ПОРТОВАЯ УЛ.,УГ.ПР.СТАЧЕК (тест)";"ПОРТОВАЯ УЛ.,УГ.ПР.СТАЧЕК";"Дорога в Угольную гавань, Стачек пр.";"59,86417826";"30,2601357";"Остановка";"17"
"ЭЛЕВАТОРНАЯ ПЛ.,2 (тест)";"ЭЛЕВАТОРНАЯ ПЛ.,2";"Дорога в Угольную гавань";"59,86472006";"30,2336349";"Остановка";"17"
"ДОР.К РЫБНОМУ ПОРТУ (тест)";"ДОР.К РЫБНОМУ ПОРТУ";"Дорога в Угольную гавань";"59,86681171";"30,2082806";"Остановка";"17"
"УГОЛЬНАЯ ГАВАНЬ";"УГОЛЬНАЯ ГАВАНЬ";"Дорога в Угольную гавань";"59,86932152";"30,2016525";"Остановка";"17"
"ДОР. К РЫБНОМУ ПОРТУ (тест)<";"ДОР. К РЫБНОМУ ПОРТУ";"Дорога в Угольную гавань";"59,86641054";"30,2088509";"Остановка";"17"
"ЭЛЕВАТОРНАЯ ПЛ.,2 (тест)<";"ЭЛЕВАТОРНАЯ ПЛ.,2";"Дорога в Угольную гавань";"59,86457946";"30,2337952";"Остановка";"17"
