Наименование остановки;Официальное наименование;Расположение;Широта;Долгота;Тип объекта;Маршруты
"ДАЛЬНЕВОСТОЧНЫЙ ПР.";"ДАЛЬНЕВОСТОЧНЫЙ ПР.";"ул. Коллонтай, Дальневосточный проспект";"59,91302085";"30,4410439";"Остановка";"191А"
"Смольный";"";"аллея Смольного, Смольный проезд";"59,94632035";"30,3951302";"Остановка";"3С,5С-1"
"ГРАНИТНАЯ УЛ.";"ГРАНИТНАЯ УЛ.";"Новочеркасский проспект, ул. Гранитная";"59,91976217";"30,4227695";"Остановка";"191А"
"ТУРИСТСКАЯ УЛ., 18";"ТУРИСТСКАЯ УЛ., 18";"ул. Туристская, ул. Мебельная";"59,99728622";"30,2064705";"Остановка";"126,154А,172"
"МЕБЕЛЬНАЯ УЛ., 25";"МЕБЕЛЬНАЯ УЛ., 25";"ул. Мебельная, Приморское шоссе";"59,99509006";"30,2118835";"Остановка";"125,154А"
"СЫЗРАНСКАЯ УЛ.";"";"ул. Благодатная, ул. Сызранская";"59,87628424";"30,3380375";"Остановка";"12,29,95,159"
"УЛ. БАДАЕВА, 3";"";"ул. Бадаева, ул. Джона Рида";"59,91793746";"30,4511833";"Остановка";"12"
"УЛ. БАДАЕВА, 8";"";"ул. Бадаева";"59,91889262";"30,4473305";"Остановка";"12"
"УЛ. ДЖОНА РИДА";"";"проспект Пятилеток, ул. Джона Рида";"59,92305529";"30,456316";"Остановка";"12"
"5-Я ЛИНИЯ В.О.";"5-Я ЛИНИЯ В.О.";"4-5-я линии, Малый проспект В.О.";"59,94703867";"30,2772903";"Остановка";"47,1"
"Б. САМПСОНИЕВСКИЙ ПР.";"Б. САМПСОНИЕВСКИЙ ПР.";"Гренадерская ул., Большой Сампсониевский проспект";"59,96879656";"30,3407021";"Остановка";"14"
"КРАСНОГОРОДСКАЯ УЛ.";"КРАСНОГОРОДСКАЯ УЛ., УГ. ГАТЧИНСКОГО ШОССЕ";"ул. Красногородская, Гатчинское шоссе";"59,71776341";"30,0799522";"Остановка";"144,145А"
"ГАТЧИНСКОЕ ШОССЕ";"КРАСНОГОРОДСКАЯ УЛ., УГ. ГАТЧИНСКОГО ШОССЕ";"Гатчинское шоссе, ул. Красногородская";"59,71790463";"30,0804405";"Остановка";"145А,477"
"НАРВСКАЯ УЛ.";"НАРВСКАЯ УЛ., 2";"ул. Нарвская, Кингисеппское шоссе";"59,72118677";"30,0680428";"Остановка";"145А"
