Район;Наименование объекта ;Количество шт;Тип фундамента;Тип панелей;Тип павильона
"Московский";"ул. Ленсовета, нечетная сторона у ул. Гастелло";"1";"конусный";"сетка";"Стандарт-облегченный"
"Московский";"наб. Обводного канала у Маслянного пер.";"1";"конусный";"сетка";"Стандарт-облегченный"
"Московский";"ул. Типанова д. 27";"1";"конусный";"сетка";"Стандарт"
"Невский";"3-ий Рыбацкий проезд у ст. метро "Рыбацкое"";"1";"конусный";"сетка";"Стандарт"
"Невский";"ул. Бадаева у  ул. Джона Рида,  нечетная  сторона";"1";"конусный";"сетка";"Стандарт"
"Невский";"ул. Бехтерева д. 3";"1";"конусный";"сетка";"Стандарт"
"Невский";"Искровский пр. д. 12";"1";"конусный";"сетка";"Стандарт"
"Невский";"ул. Латышских Стрелков у д. 8 по Российскому пр.";"1";"конусный";"сетка";"Стандарт"
"Невский";"ул. Латышских Стрелков, напротив школы у д. 9";"1";"конусный";"сетка";"Стандарт-облегченный"
"Невский";"Октябрьская наб. 44";"1";"конусный";"сетка";"Стандарт"
"Невский";"Октябрьская наб. д. 100";"1";"конусный";"сетка";"Стандарт"
"Невский";"Октябрьская наб. напротив д. 106";"1";"конусный";"сетка";"Стандарт-облегченный"
"Невский";"Октябрьская наб. д. 118";"1";"конусный";"сетка";"Стандарт-облегченный"
"Невский";"пр. Солидарности д. 14";"1";"конусный";"сетка";"Стандарт"
"Невский";"ул. Цимбалина у ул. Седова, нечетная сторона";"1";"конусный";"сетка";"Стандарт"
"Петроградский";"ул. Б.Монетная д. 16 к. 5";"1";"конусный";"сетка";"Стандарт-облегченный"
"Петроградский";"ул. Ленина д. 13";"1";"конусный";"сетка";"Стандарт-облегченный"
"Петродворцовый";"ул. Александровская д. 32";"1";"конусный";"сетка";"Стандарт-облегченный"
"Петродворцовый";"Краснофлотское шоссе  автобусная остановка  "Ольгин канал"от СПб,  г. Ломоносов";"1";"конусный";"сетка";"Стандарт-облегченный"
"Петродворцовый";"Краснофлотское шоссе  автобусная остановка  "Кронколония"  от СПб, г. Ломоносов";"1";"конусный";"сетка";"Стандарт-облегченный"
"Петродворцовый";"бульв. Красных Курсантов  напротив д. 49";"1";"плита";"сетка";"Стандарт-облегченный"
"Петродворцовый";"Ораниенбаумский пр. д. 19,  г. Ломоносов";"1";"плита";"сетка";"Стандарт"
"Петродворцовый";"ул. Победы д. 34,  г. Ломоносов";"1";"конусный";"сетка";"Стандарт"
"Приморский";"ул. Аккуратова напротив д. 2";"1";"конусный";"сетка";"Стандарт"
"Приморский";"Богатырский пр. д. 49 корп. 1";"1";"конусный";"сетка";"Стандарт"
"Приморский";"Богатырский пр. д. 57 у Туристской ул.";"1";"конусный";"сетка";"Стандарт"
"Приморский";"пр. Испытателей у д. 15 корп. 2 по Коломяжскому пр.";"1";"конусный";"стекло";"Стандарт"
"Приморский";"Комендантский пр. д. 34";"1";"конусный";"сетка";"Стандарт"
"Приморский";"Комендантский пр. д. 41 у ул. Шаврова";"1";"плита";"сетка";"Стандарт"
"Приморский";"пр. Королева у Долгоозерной ул., четная сторона у ТЦ "Подсолнух"";"1";"конусный";"сетка";"Стандарт"
"Приморский";"пр. Королева, нечетная сторона у Ольховой ул.";"1";"конусный";"сетка";"Стандарт"
"Приморский";"Мебельная ул. у Туристской ул. четная сторона";"1";"конусный";"сетка";"Стандарт"
"Приморский";"ул. Оптиков четная сторона у Яхтенной ул.";"1";"конусный";"сетка";"Стандарт"
"Приморский";"Парашютная ул.,нечетная сторона у ул. Репищева (у мечети)";"1";"конусный";"сетка";"Стандарт"
"Приморский";"ул. Планерная, четная сторона у Шуваловского пр.";"1";"конусный";"сетка";"Стандарт"
"Приморский";"Приморский пр. д. 161";"1";"конусный";"сетка";"Стандарт"
"Приморский";"Приморское шоссе  автобусная остановка 15 км, четная сторона";"1";"конусный";"сетка";"Стандарт"
"Приморский";"ул. Савушкина д. 32";"1";"конусный";"сетка";"Стандарт"
"Приморский";"Стародеревенская ул. д. 23 к. 1";"1";"конусный";"сетка";"Стандарт"
"Приморский";"Туристская ул. д. 18 корп. 1";"1";"конусный";"сетка";"Стандарт"
"Пушкинский";"Волхонское шоссе у ж/д станции "Александровская"";"1";"конусный";"сетка";"Стандарт"
"Пушкинский";"Конюшенная ул. у Садовой ул.";"1";"конусный";"стекло";"Облегченный"
"Пушкинский";"Московское шоссе а/д Москва-СПб напротив ТК "Лента"";"1";"конусный";"сетка";"Стандарт-облегченный"
"Пушкинский";"Московское шоссе д. 81";"1";"конусный";"сетка";"Стандарт-облегченный"
